ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:35(_new_module)
13,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:58(__init__)
13,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:87(acquire)
13,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:112(release)
10,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:152(__init__)
10,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:156(__enter__)
10,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:160(__exit__)
16,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:64(_relax_case)
13,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:185(cb)
13,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:166(_get_module_lock)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:203(_lock_unlock_module)
9/4,0.000,0.000,0.008,0.002,<frozen importlib._bootstrap>:220(_call_with_frames_removed)
88,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:231(_verbose_message)
9,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:351(__init__)
9,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:385(cached)
12,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:398(parent)
7,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:406(has_location)
7,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:486(_init_module_attrs)
7,0.000,0.000,0.002,0.000,<frozen importlib._bootstrap>:558(module_from_spec)
7/5,0.000,0.000,0.007,0.001,<frozen importlib._bootstrap>:659(_load_unlocked)
7,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:736(find_spec)
7,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:811(find_spec)
12,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:79(_unpack_uint32)
21,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:874(__enter__)
21,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:878(__exit__)
7,0.000,0.000,0.005,0.001,<frozen importlib._bootstrap>:901(_find_spec)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:948(_sanity_check)
7/3,0.000,0.000,0.011,0.004,<frozen importlib._bootstrap>:967(_find_and_load_unlocked)
10/6,0.000,0.000,0.012,0.002,<frozen importlib._bootstrap>:1002(_find_and_load)
6/4,0.000,0.000,0.005,0.001,<frozen importlib._bootstrap>:1018(_gcd_import)
8/7,0.000,0.000,0.002,0.000,<frozen importlib._bootstrap>:1033(_handle_fromlist)
89,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:114(<listcomp>)
89,0.001,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:91(_path_join)
2,0.000,0.000,0.000,0.000,<frozen zipimport>:63(__init__)
24,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:129(<genexpr>)
